# Creation date: Tue May 20 10:36:29 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/Y6A1_FGCM_V3_3_1_PSF_ALL_STARS.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/DES_100.out
# CAT_LINES              : 0 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : DES_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.000000 
# GLB_CONTEXT            : -1
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : NO
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/WORK_COMPLETE2/zphota/spec_out
# CHI_OUT                : NO
# PDZ_OUT                : NONE
####################################### 
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 NBAND_USED 15 MAG_OBS()16-20 ERR_MAG_OBS()21-25 MAG_ABS()26-30 EMAG_ABS()31-35 ZSPEC 36
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  NBAND_USED  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  ZSPEC 
           9536                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.124     16.349     16.081     15.928     15.880      0.029      0.008      0.008      0.006      0.004   1015.34924   1015.34924   1015.34924   1015.34924   1015.34924   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9538                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.688     17.713     17.426     17.237     17.208      0.267      0.028      0.028      0.020      0.010   1016.71321   1016.71321   1016.71321   1016.71321   1016.71321   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9540                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     4     13.495     13.519     13.615     13.636     13.669      0.002      0.001      0.001      0.001      0.001   1012.51921   1012.51921   1012.51921   1012.51921   1012.51921   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9541                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     16.564     15.930     15.720     15.588     15.582      0.017      0.008      0.008      0.005      0.003   1014.93047   1014.93047   1014.93047   1014.93047   1014.93047   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9542                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     4     14.234     13.544     13.297     13.158     13.132      0.003      0.001      0.001      0.001      0.001   1012.54404   1012.54404   1012.54404   1012.54404   1012.54404   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9544                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.293     17.490     17.198     17.031     17.004      0.115      0.023      0.023      0.016      0.010   1016.49045   1016.49045   1016.49045   1016.49045   1016.49045   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9546                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     16.179     15.761     15.619     15.523     15.513      0.012      0.005      0.005      0.004      0.003   1014.76056   1014.76056   1014.76056   1014.76056   1014.76056   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9549                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.152     17.548     17.306     17.199     17.161      0.084      0.028      0.028      0.021      0.011   1016.54825   1016.54825   1016.54825   1016.54825   1016.54825   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9550                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     15.353     14.872     14.722     14.639     14.637      0.006      0.003      0.003      0.003      0.002   1013.87239   1013.87239   1013.87239   1013.87239   1013.87239   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9551                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.009     15.647     15.071     14.797     14.720      0.026      0.005      0.005      0.003      0.002   1014.64670   1014.64670   1014.64670   1014.64670   1014.64670   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
