# Creation date: Thu Apr 17 14:27:14 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_100.out
# CAT_LINES              : 1 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 2
# NZ_PRIOR               : -2 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 10 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 4
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/spec_100/
# CHI_OUT                : NO
# PDZ_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_PDZ_100
####################################### 
# Offsets from auto-adapt: 0.042989585745065284,-0.0006165267043378719,-0.0021406715295242407,0.0035866669364388315,0.006062724835594224,-0.026013763042950444
# Offsets from auto-adapt: 0.042990,-0.000617,-0.002141,0.003587,0.006063,-0.026014,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC  PDZ_FLAG
286848          0.6843          0.6775          0.6921          0.6635          0.7282          0.6879          0.6830          2.43735e+00          42          0          0.000          9.90000e+01          3.74588e-01          24.858          24.267          23.386          22.568          22.315          22.150          0.119          0.021          0.011          0.010          0.013          0.027          -19.17173          -20.05519          -20.52104          -20.73807          -20.91868          -21.10544          0.05156          0.23720          0.12057          0.70897          1.06538          1.32000          0.70851          0
321147          1.541          1.5083          1.5731          1.2343          1.6584          1.5227          1.5406          8.22823e+00          32          0          0.000          9.90000e+01          2.27041e+00          26.373          25.786          25.003          24.236          23.680          22.957          0.393          0.070          0.034          0.031          0.037          0.056          -21.13192          -22.11901          -22.61087          -22.77686          -22.92431          -23.07896          0.13354          1.31625          2.19390          2.82085          3.15341          3.38514          1.32059          4
306488          1.01          0.8868          1.1064          0.3913          2.0000          1.0192          0.9922          9.06168e-01          53          0          0.000          9.90000e+01          6.87239e-02          27.927          27.016          26.341          25.655          24.968          25.021          1.099          0.258          0.109          0.107          0.130          0.312          -17.69470          -18.46909          -18.84194          -18.95605          -19.05811          -19.16261          0.02182          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.96665          5
313967          1.291          0.9790          2.0000          0.0100          2.0000          1.6032          1.9942          9.59868e-01          70          0          0.000          9.90000e+01          1.05185e-01          27.308          26.567          26.299          25.928          25.463          25.128          0.557          0.157          0.102          0.142          0.173          0.410          -18.37138          -18.97671          -19.30251          -19.42035          -19.52073          -19.62617          0.04027          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.11685          11
76406          1.423          1.3573          1.5042          1.2780          1.6746          1.4321          1.4180          1.21763e+00          37          0          0.000          9.90000e+01          6.51316e-01          26.892          26.386          25.751          24.965          24.650          23.909          0.630          0.123          0.060          0.058          0.084          0.145          -19.67521          -20.69385          -21.18871          -21.40944          -21.56539          -21.72333          0.26192          0.99530          1.87296          2.49990          2.83246          3.06419          1.53028          0
380002          0.9212          0.5029          1.0575          0.0100          2.0000          0.8006          0.6917          1.56475e+00          71          0          0.000          9.90000e+01          2.48642e-02          27.483          27.483          26.753          26.127          25.524          26.132          1.161          0.327          0.172          0.163          0.264          0.659          -16.82532          -17.67975          -17.74342          -17.86497          -17.93721          -17.99993          0.33316          0.16643          -1.00000          -1.00000          -1.00000          -1.00000          0.77854          15
38077          0.6793          0.6756          0.6833          0.6638          0.6944          0.6792          0.6797          1.40758e+01          1          0          0.000          9.90000e+01          5.94541e-01          29.198          25.669          24.015          22.726          22.229          21.889          1.055          0.069          0.015          0.011          0.012          0.022          -18.48395          -19.98716          -20.77866          -21.19888          -21.47280          -21.73678          0.03824          0.20652          0.11031          0.69081          1.04722          1.30185          0.69372          0
310824          1.604          0.0100          2.0000          0.0100          2.0000          1.0926          0.0735          2.38696e-01          70          0          0.000          9.90000e+01          9.41848e-02          27.073          27.419          27.087          26.684          26.473          25.971          0.998          0.322          0.225          0.293          0.369          0.808          -18.22717          -18.85678          -19.18258          -19.30042          -19.40080          -19.50625          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.04693          15
253940          0.4226          0.3815          0.4835          0.0100          0.5801          0.2851          0.2383          7.29215e-01          89          0          0.000          9.90000e+01          7.28467e-03          26.261          25.794          25.214          25.083          25.037          24.856          0.396          0.074          0.040          0.065          0.110          0.322          -15.86109          -16.28633          -16.47413          -16.50425          -16.61177          -16.70256          0.55471          0.38401          0.11039          0.56809          -1.00000          -1.00000          0.28070          12
213343          0.8043          0.6931          0.8975          0.5114          0.9875          0.7915          0.7981          1.22743e-01          49          0          0.000          9.90000e+01          5.00935e-02          27.065          26.812          26.014          25.115          24.762          24.726          0.864          0.179          0.076          0.064          0.093          0.238          -17.22623          -18.05180          -18.40010          -18.53790          -18.67517          -18.82169          0.38839          0.06351          0.35946          0.97839          1.32951          1.58316          0.83918          0
