# Creation date: Tue Apr 22 11:17:26 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_5000.out
# CAT_LINES              : 1 5000
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 2
# NZ_PRIOR               : -2 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 10 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 4
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : save_spec
# CHI_OUT                : NO
# PDZ_OUT                : test
####################################### 
# Offsets from auto-adapt: 0.042989585745065284,-0.0006165267043378719,-0.0021406715295242407,0.0035866669364388315,0.006062724835594224,-0.026013763042950444
# Offsets from auto-adapt: 0.042990,-0.000617,-0.002141,0.003587,0.006063,-0.026014,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC 
         286848           0.6843       0.6775       0.6921       0.6635       0.7282       0.6879       0.6830    2.43735e+00     42      0        0.000    9.90000e+01    3.74588e-01     24.858     24.267     23.386     22.568     22.315     22.150      0.119      0.021      0.011      0.010      0.013      0.027    -19.17173    -20.05519    -20.52104    -20.73807    -20.91868    -21.10544       0.05156       0.23720       0.12057       0.70897       1.06538       1.32000        0.70851 
         321147            1.541       1.5083       1.5731       1.2343       1.6584       1.5227       1.5406    8.22823e+00     32      0        0.000    9.90000e+01    2.27041e+00     26.373     25.786     25.003     24.236     23.680     22.957      0.393      0.070      0.034      0.031      0.037      0.056    -21.13192    -22.11901    -22.61087    -22.77686    -22.92431    -23.07896       0.13354       1.31625       2.19390       2.82085       3.15341       3.38514        1.32059 
         306488             1.01       0.8868       1.1064       0.3913       2.0000       1.0192       0.9922    9.06168e-01     53      0        0.000    9.90000e+01    6.87239e-02     27.927     27.016     26.341     25.655     24.968     25.021      1.099      0.258      0.109      0.107      0.130      0.312    -17.69470    -18.46909    -18.84194    -18.95605    -19.05811    -19.16261       0.02182      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        0.96665 
         313967            1.291       0.9790       2.0000       0.0100       2.0000       1.6032       1.9942    9.59868e-01     70      0        0.000    9.90000e+01    1.05185e-01     27.308     26.567     26.299     25.928     25.463     25.128      0.557      0.157      0.102      0.142      0.173      0.410    -18.37138    -18.97671    -19.30251    -19.42035    -19.52073    -19.62617       0.04027      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.11685 
          76406            1.423       1.3573       1.5042       1.2780       1.6746       1.4321       1.4180    1.21763e+00     37      0        0.000    9.90000e+01    6.51316e-01     26.892     26.386     25.751     24.965     24.650     23.909      0.630      0.123      0.060      0.058      0.084      0.145    -19.67521    -20.69385    -21.18871    -21.40944    -21.56539    -21.72333       0.26192       0.99530       1.87296       2.49990       2.83246       3.06419        1.53028 
         380002           0.9212       0.5029       1.0575       0.0100       2.0000       0.8006       0.6917    1.56475e+00     71      0        0.000    9.90000e+01    2.48642e-02     27.483     27.483     26.753     26.127     25.524     26.132      1.161      0.327      0.172      0.163      0.264      0.659    -16.82532    -17.67975    -17.74342    -17.86497    -17.93721    -17.99993       0.31844       0.16643      -1.00000      -1.00000      -1.00000      -1.00000        0.77854 
          38077           0.6793       0.6756       0.6833       0.6638       0.6944       0.6792       0.6797    1.40758e+01      1      0        0.000    9.90000e+01    5.94541e-01     29.198     25.669     24.015     22.726     22.229     21.889      1.055      0.069      0.015      0.011      0.012      0.022    -18.48395    -19.98716    -20.77866    -21.19888    -21.47280    -21.73678       0.03824       0.20652       0.11031       0.69081       1.04722       1.30185        0.69372 
         310824            1.604       0.0100       2.0000       0.0100       2.0000       1.0926       0.0735    2.38696e-01     70      0        0.000    9.90000e+01    9.41848e-02     27.073     27.419     27.087     26.684     26.473     25.971      0.998      0.322      0.225      0.293      0.369      0.808    -18.22717    -18.85678    -19.18258    -19.30042    -19.40080    -19.50625      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.04693 
         253940           0.4226       0.3815       0.4835       0.0100       0.5801       0.2851       0.2383    7.29215e-01     89      0        0.000    9.90000e+01    7.28467e-03     26.261     25.794     25.214     25.083     25.037     24.856      0.396      0.074      0.040      0.065      0.110      0.322    -15.86109    -16.28633    -16.47413    -16.50425    -16.61177    -16.70256       0.55471       0.38401       0.11039       0.56809      -1.00000      -1.00000        0.28070 
         213343           0.8043       0.6931       0.8975       0.5114       0.9875       0.7915       0.7981    1.22743e-01     49      0        0.000    9.90000e+01    5.00935e-02     27.065     26.812     26.014     25.115     24.762     24.726      0.864      0.179      0.076      0.064      0.093      0.238    -17.22623    -18.05180    -18.40010    -18.53790    -18.67517    -18.82169       0.38839       0.06351       0.35946       0.97839       1.32951       1.58316        0.83918 
         266975           0.7505       0.0495       2.0000       0.0100       2.0000       0.9738       0.0741    3.99709e-01     90      0        0.000    9.90000e+01    4.76403e-03     26.976     27.658     27.373     26.924     26.515     26.936      1.027      0.356      0.216      0.333      0.594      1.209    -15.47722    -15.87806    -16.10841    -16.07767    -16.17540    -16.32323       0.27070      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        0.46064 
         253089           0.2901       0.2692       0.3043       0.1797       0.3483       0.2686       0.2154    1.65509e+00     17      0        0.000    9.90000e+01    2.27391e-02     26.399     25.014     23.807     23.326     23.059     22.943      0.452      0.038      0.013      0.015      0.022      0.052    -15.53147    -16.73969    -17.38518    -17.64342    -17.84701    -18.05039       0.05503       0.01420       0.10873       0.01376       0.37018       0.62481        0.25840 
         390634           0.7443       0.0591       0.9606       0.0100       2.0000       0.7094       0.0795    7.87217e-01     87      0        0.000    9.90000e+01    6.98036e-03     27.947     27.475     27.195     26.407     26.603     26.441      1.178      0.382      0.239      0.258      0.347      0.797    -15.64794    -16.18819    -16.42679    -16.49541    -16.55732    -16.62474       0.24415      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        0.95584 
         328803            1.008       0.6818       1.8735       0.0100       2.0000       1.2575       1.7558    3.74147e-01     84      0        0.000    9.90000e+01    2.36602e-02     26.702     26.970     26.818     26.423     25.875     26.046      0.685      0.220      0.166      0.243      0.372      0.722    -16.92570    -17.46423    -17.76474    -17.80492    -17.91209    -18.04991       0.05271      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.65554 
         213798           0.8064       0.6649       0.8340       0.5757       0.8829       0.7365       0.6685    2.57204e+00     41      0        0.000    9.90000e+01    1.19948e-01     27.150     26.208     25.131     24.140     23.751     23.643      0.501      0.098      0.037      0.028      0.039      0.099    -18.19363    -19.06386    -19.49362    -19.57614    -19.69306    -19.82166       0.38839       0.06351       0.35946       0.97839       1.32951       1.58316        0.82920 
         210664           0.5492       0.0100       0.9832       0.0100       2.0000       0.6728       0.0149    2.24500e-01     90      0        0.000    9.90000e+01    2.44628e-03     27.302     27.624     27.100     26.805     26.877     26.278      0.832      0.301      0.237      0.304      0.505      1.286    -14.76075    -15.15438    -15.38474    -15.35400    -15.45172    -15.59955       0.52202      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        0.80640 
         111661           0.2114       0.0673       0.3077       0.0100       0.8465       0.3263       0.2163    8.07249e-01     18      0        0.000    9.90000e+01    8.65764e-04     28.935     27.398     26.399     25.881     25.870     25.890      1.316      0.280      0.117      0.135      0.226      0.540    -12.09132    -13.28224    -13.98478    -14.16018    -14.34604    -14.53457       0.43620       0.28237       0.02115      -1.00000      -1.00000      -1.00000        0.59040 
          64341            1.205       1.1829       1.2251       1.1458       1.2907       1.2069       1.2028    2.10614e+00     26      0        0.000    9.90000e+01    1.62943e+00     25.739     25.418     24.672     23.945     23.165     22.593      0.237      0.054      0.024      0.024      0.024      0.040    -20.23193    -21.35349    -22.00042    -22.32503    -22.55740    -22.78841       0.31829       0.31011       1.18777       1.81472       2.14727       2.37900        1.15466 
         227394             1.62       0.7351       1.8272       0.0100       2.0000       1.1481       0.9894    1.55392e-01     11      0        0.000    9.90000e+01    7.76142e-01     28.261     27.896     27.626     26.649     25.877     25.509      2.104      0.663      0.293      0.286      0.293      0.581    -19.04041    -20.38863    -21.13047    -21.51031    -21.76161    -22.00718      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.03506 
          40132           0.7972       0.5143       0.9571       0.0587       1.2785       0.7445       0.7980    1.25322e+00     46      0        0.000    9.90000e+01    2.17788e-02     27.935     27.909     26.860     25.975     25.452     25.832      2.134      0.494      0.168      0.140      0.217      0.494    -16.39457    -17.33416    -17.60924    -17.70113    -17.82518    -17.96159       0.36386       0.07350      -1.00000      -1.00000      -1.00000      -1.00000        0.68697 
         283672           0.6483       0.6263       0.6678       0.5601       0.7345       0.6505       0.6434    9.90629e-02     42      0        0.000    9.90000e+01    1.06560e-01     26.102     25.459     24.529     23.772     23.538     23.343      0.383      0.057      0.022      0.021      0.032      0.077    -17.80052    -18.68072    -19.16428    -19.38131    -19.56192    -19.74868       0.13172       0.13990       0.08023       0.65117       1.00729       1.26191        0.65847 
         168246          0.01648       0.0100       0.1845       0.0100       0.6006       0.1501       0.1593    2.24153e-01     42      0        0.000    9.90000e+01    6.69488e-06     27.195     26.092     25.608     25.394     25.161     25.073      0.619      0.103      0.055      0.079      0.149      0.389     -7.31715     -8.19518     -8.66838     -8.87813     -9.11270     -9.25737       1.35587       0.09392       0.04754       0.07338       0.03012      -1.00000        0.21125 
         337329           0.4662       0.3971       0.5170       0.0146       0.5825       0.4244       0.4421    1.20324e+00     69      0        0.000    9.90000e+01    1.16401e-02     26.937     26.096     25.216     24.925     24.879     24.571      0.691      0.094      0.039      0.057      0.090      0.258    -15.98186    -16.65293    -17.00973    -16.96552    -17.19671    -17.25831       0.70849       0.28835       0.09714       0.62975       0.92781       1.15291        0.28828 
         358949           0.5066       0.2175       0.5328       0.1416       0.5798       0.4816       0.5029    3.17479e+00     76      0        0.000    9.90000e+01    2.22945e-02     25.949     25.450     24.679     24.347     24.348     24.169      0.286      0.055      0.025      0.034      0.062      0.155    -16.81819    -17.43523    -17.59708    -17.60985    -17.70889    -17.83616       0.69547       0.18891       0.05904       0.62948       0.92440       1.17138        0.54625 
         349282           0.4656       0.4588       0.4720       0.4494       0.4856       0.4658       0.4664    2.15755e+01     50      0        0.000    9.90000e+01    2.53329e-01     23.786     23.235     22.182     21.797     21.590     21.346      0.044      0.011      0.008      0.008      0.009      0.015    -18.90842    -19.72814    -20.20134    -20.34260    -20.52290    -20.66390       0.70849       0.28835       0.09714       0.62975       0.92781       1.15291        0.46720 
         365358           0.8071       0.7634       0.8643       0.6721       0.9753       0.8434       0.8237    2.14296e+01      1      0        0.000    9.90000e+01    9.46863e-02     28.935     29.818     26.455     25.384     24.981     24.619      3.221      0.544      0.131      0.092      0.130      0.281    -16.88190    -17.80771    -18.65966    -19.07988    -19.35380    -19.61778       0.38839       0.06351       0.35946       0.97839       1.32951       1.58316        0.64038 
         120183           0.6844       0.6736       0.7028       0.6283       0.7245       0.6907       0.6924    6.60266e-01      2      0        0.000    9.90000e+01    3.97652e-01     27.244     25.933     24.266     23.026     22.571     22.241      0.911      0.080      0.018      0.013      0.015      0.030    -18.26777    -19.70125    -20.42912    -20.79726    -21.03038    -21.25890       0.05156       0.23720       0.12057       0.70897       1.06538       1.32000        0.69875 
         293864           0.4953       0.4154       0.5600       0.3473       0.6593       0.5172       0.5258    4.78551e+00      1      0        0.000    9.90000e+01    1.43310e-02     31.354     27.526     26.527     25.625     25.273     25.066      1.274      0.306      0.124      0.100      0.138      0.328    -14.46337    -15.95388    -16.74520    -17.16542    -17.43934    -17.70332       0.73927       0.21383      -1.00000      -1.00000      -1.00000      -1.00000        0.79316 
         355942           0.5169       0.4718       0.5261       0.2284       0.5532       0.4906       0.5169    3.08749e+00     88      0        0.000    9.90000e+01    3.57314e-02     25.025     24.697     24.145     23.911     23.812     23.540      0.117      0.029      0.017      0.024      0.042      0.093    -17.49685    -17.94148    -18.30884    -18.36734    -18.43836    -18.52433       0.65257       0.19786       0.05539       0.61770       0.91586       1.16923        0.50358 
         245572            1.707       0.9056       1.9912       0.0100       2.0000       1.5313       1.7600    6.19795e-01     30      0        0.000    9.90000e+01    5.82489e-01     27.528     26.928     26.655     26.180     25.596     25.458      0.606      0.180      0.123      0.163      0.242      0.500    -19.37594    -20.36604    -20.94377    -21.22078    -21.43676    -21.65539      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.67481 
         334928           0.2316       0.2207       0.2414       0.1218       0.2600       0.2125       0.2311    1.18172e+00     49      0        0.000    9.90000e+01    8.15084e-03     25.679     24.643     23.930     23.609     23.473     23.435      0.212      0.028      0.014      0.019      0.032      0.085    -15.24742    -16.05986    -16.49575    -16.59797    -16.73524    -16.88176       0.33171       0.21952       0.03037       0.12879       0.22762       0.48225        0.22887 
         186534             0.72       0.0100       2.0000       0.0100       2.0000       0.8405       0.6442    6.09657e-02     53      0        0.000    9.90000e+01    6.46864e-03     29.319     28.531     27.633     26.870     26.525     26.650      4.625      1.254      0.366      0.389      0.573      1.131    -15.13536    -15.90335    -16.27620    -16.39031    -16.49238    -16.59687      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        0.47667 
         364232           0.5653       0.5346       0.6048       0.1429       0.6512       0.5504       0.5627    2.88431e+00     56      0        0.000    9.90000e+01    2.47558e-02     26.659     26.231     25.193     24.672     24.560     24.647      0.560      0.103      0.038      0.043      0.077      0.202    -16.61550    -17.38244    -17.46504    -17.56368    -17.67995    -17.80657       0.43756       0.04785       0.07185       0.58409       0.92186       1.17648        0.61371 
          25566           0.5802       0.2171       0.7008       0.0100       1.0325       0.5074       0.5902    8.58762e-01     46      0        0.000    9.90000e+01    8.71362e-03     28.343     27.665     26.519     25.847     25.896     25.789      2.325      0.468      0.133      0.139      0.226      0.499    -15.34867    -16.27201    -16.61465    -16.70654    -16.83059    -16.96700       0.35890       0.02670      -1.00000      -1.00000      -1.00000      -1.00000        0.55927 
         335690           0.2972       0.2911       0.3025       0.2813       0.3219       0.2981       0.2986    6.19527e-01     31      0        0.000    9.90000e+01    6.80017e-02     24.442     23.546     22.548     22.145     21.884     21.747      0.077      0.013      0.008      0.009      0.010      0.020    -17.09786    -18.07626    -18.63161    -18.90368    -19.08536    -19.26861       0.05503       0.01420       0.10873       0.01376       0.37018       0.62481        0.27126 
         261314           0.2902       0.0100       0.4462       0.0100       0.6828       0.2774       0.2743    5.41687e-01     82      0        0.000    9.90000e+01    1.50405e-03     27.331     26.660     26.054     26.006     25.669     25.371      0.652      0.169      0.085      0.140      0.252      0.678    -13.93932    -14.51668    -14.78461    -14.81820    -14.91574    -15.04226       0.05503       0.01420       0.10873      -1.00000      -1.00000      -1.00000        0.41324 
         239738           0.7565       0.0100       2.0000       0.0100       2.0000       0.9404       0.7040    5.08700e-01     63      0        0.000    9.90000e+01    6.12974e-03     28.134     28.271     27.921     26.849     27.006     26.505      2.564      0.746      0.393      0.424      0.614      0.917    -15.13580    -15.84304    -16.21085    -16.32798    -16.44113    -16.56304      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.39405 
         409132            1.428       1.3744       1.5391       1.1384       1.6999       1.4622       1.4847    4.72872e-01     29      0        0.000    9.90000e+01    1.23330e+00     26.066     25.654     25.503     24.994     24.551     23.883      0.303      0.069      0.048      0.059      0.087      0.135    -19.77860    -20.89118    -21.62254    -22.02728    -22.31778    -22.59881       0.26192       0.99530       1.87296       2.49990       2.83246       3.06419        1.41794 
         146831            1.793       1.7559       1.8313       1.0095       1.9311       1.7428       1.7884    3.80455e+00     10      0        0.000    9.90000e+01    5.74871e+00     28.416     26.965     26.043     25.271     24.164     23.592      1.141      0.254      0.080      0.068      0.059      0.097    -21.31331    -22.66184    -23.35615    -23.69279    -23.90855    -24.12196       0.36437       1.76599       2.64364       3.27059       3.60315       3.83488        1.11651 
         354694           0.1879       0.0100       0.2353       0.0100       2.0000       0.2500       0.0335    3.79768e+00     93      0        0.000    9.90000e+01    1.53472e-04     28.856     27.853     27.195     26.853     27.666     26.184      1.953      0.502      0.206      0.273      0.436      0.923    -11.84587    -12.38043    -12.72189    -12.36553    -12.42367    -12.52788      -1.00000       0.37461       0.03275      -1.00000      -1.00000      -1.00000        0.48692 
         392655           0.9812       0.9039       1.0092       0.8177       1.0600       0.9514       0.9537    5.39076e-01     47      0        0.000    9.90000e+01    1.90244e-01     26.515     26.226     25.311     24.546     23.930     23.740      0.510      0.106      0.043      0.040      0.046      0.111    -18.65395    -19.48467    -19.90521    -20.04747    -20.17471    -20.30747       0.12816       0.11388       0.74815       1.39658       1.72328       1.96363        0.97978 
         224474            1.847       0.9612       2.0000       0.2081       2.0000       1.1136       1.0748    8.15955e-01     24      0        0.000    9.90000e+01    1.37711e+00     28.424     27.997     26.819     26.251     25.366     24.939      1.515      0.416      0.174      0.169      0.182      0.388    -20.17812    -21.32067    -21.91018    -22.16573    -22.34946    -22.53581      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        0.99740 
          79888            1.616       1.2177       2.0000       0.0100       2.0000       1.5397       1.6348    3.59519e-01     76      0        0.000    9.90000e+01    1.62443e-01     26.121     26.211     26.111     25.946     25.777     25.270      0.360      0.108      0.081      0.129      0.212      0.476    -18.97557    -19.57852    -19.88908    -19.90186    -20.00089    -20.12816      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.71315 
         154692           0.5052       0.1607       0.6843       0.0100       2.0000       0.5643       0.4524    1.70765e+00     43      0        0.000    9.90000e+01    1.95318e-03     28.550     29.115     27.534     26.890     27.274     25.965      1.408      0.447      0.326      0.399      0.539      0.827    -13.70044    -14.58149    -15.00382    -15.08350    -15.20778    -15.34646      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000      -1.00000        1.35174 
          52426           0.8748       0.8652       0.8828       0.8507       0.8948       0.8739       0.8746    1.73296e+01     19      0        0.000    9.90000e+01    1.74964e+00     24.602     24.403     23.565     22.584     21.873     21.550      0.086      0.023      0.012      0.010      0.010      0.017    -20.01903    -21.22813    -22.00624    -22.41747    -22.71109    -22.99455       0.48422       0.04973       0.61171       1.24287       1.57773       1.82453        0.92845 
