# Creation date: Thu Apr 17 19:05:09 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_5000.out
# CAT_LINES              : 1 5000
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : save_spec
# CHI_OUT                : NO
# PDZ_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_PDZ_5000
####################################### 
# Offsets from auto-adapt: 0.046692,-0.000184,-0.002211,0.003683,0.006042,-0.026768,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC  PDZ_FLAG
286848          0.6843          0.6775          0.6922          0.6638          0.7288          0.6885          0.6831          2.51848e+00          42          1          0.000          9.90000e+01          3.74658e-01          24.855          24.267          23.386          22.568          22.315          22.151          0.119          0.021          0.011          0.010          0.013          0.027          -19.17197          -20.05552          -20.52049          -20.73752          -20.91813          -21.10489          0.05156          0.23720          0.12057          0.70897          1.06538          1.32000          0.70851          0
321147          1.541          1.5085          1.5735          1.2340          1.6588          1.5228          1.5408          8.19398e+00          32          1          0.000          9.90000e+01          2.27119e+00          26.370          25.785          25.003          24.236          23.680          22.957          0.393          0.070          0.034          0.031          0.037          0.056          -21.13212          -22.11921          -22.61106          -22.77706          -22.92450          -23.07915          0.13354          1.31625          2.19390          2.82085          3.15341          3.38514          1.32059          0
306488          1.01          0.8867          1.1062          0.3916          2.0000          1.0190          0.9921          9.08481e-01          53          1          0.000          9.90000e+01          6.87096e-02          27.923          27.015          26.342          25.655          24.968          25.022          1.099          0.258          0.109          0.107          0.130          0.312          -17.69435          -18.46887          -18.84171          -18.95582          -19.05789          -19.16238          0.05271          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.96665          5
313967          1.292          0.9788          2.0000          0.0100          2.0000          1.6024          1.9936          9.53869e-01          70          1          0.000          9.90000e+01          1.05244e-01          27.304          26.566          26.299          25.928          25.463          25.129          0.557          0.157          0.102          0.142          0.173          0.410          -18.37233          -18.97733          -19.30312          -19.42096          -19.52135          -19.62679          0.04027          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.11685          11
76406          1.423          1.3575          1.5044          1.2782          1.6746          1.4322          1.4183          1.21431e+00          37          1          0.000          9.90000e+01          6.51597e-01          26.889          26.386          25.751          24.965          24.650          23.910          0.630          0.123          0.060          0.058          0.084          0.145          -19.67593          -20.69392          -21.18878          -21.40952          -21.56546          -21.72341          0.26192          0.99530          1.87296          2.49990          2.83246          3.06419          1.53028          0
380002          0.9209          0.5030          1.0573          0.0100          2.0000          0.8008          0.6918          1.56853e+00          71          1          0.000          9.90000e+01          2.48435e-02          27.480          27.483          26.753          26.127          25.524          26.133          1.161          0.327          0.172          0.163          0.264          0.659          -16.82384          -17.67877          -17.74251          -17.86407          -17.93631          -17.99903          0.33316          0.16643          -1.00000          -1.00000          -1.00000          -1.00000          0.77854          11
38077          0.6793          0.6756          0.6833          0.6637          0.6943          0.6792          0.6797          1.41123e+01          1          1          0.000          9.90000e+01          5.94396e-01          29.194          25.668          24.015          22.725          22.229          21.890          1.055          0.069          0.015          0.011          0.012          0.022          -18.48346          -19.98692          -20.77763          -21.19785          -21.47177          -21.73574          0.03824          0.20652          0.11031          0.69081          1.04722          1.30185          0.69372          0
310824          1.605          0.0100          2.0000          0.0100          2.0000          1.0932          0.0735          2.41612e-01          70          1          0.000          9.90000e+01          9.42724e-02          27.069          27.419          27.087          26.684          26.473          25.972          0.998          0.322          0.225          0.293          0.369          0.808          -18.22818          -18.85779          -19.18359          -19.30143          -19.40181          -19.50725          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.04693          11
253940          0.4226          0.3815          0.4840          0.0100          0.5804          0.2857          0.2382          7.14559e-01          89          1          0.000          9.90000e+01          7.28463e-03          26.257          25.794          25.214          25.083          25.037          24.857          0.396          0.074          0.040          0.065          0.110          0.322          -15.86144          -16.28636          -16.47403          -16.50415          -16.61176          -16.70256          0.55471          0.38401          0.11039          0.56809          -1.00000          -1.00000          0.28070          0
213343          0.8043          0.6936          0.8973          0.5117          0.9874          0.7916          0.7981          1.25091e-01          49          1          0.000          9.90000e+01          5.00880e-02          27.062          26.811          26.014          25.115          24.762          24.726          0.864          0.179          0.076          0.064          0.093          0.238          -17.22595          -18.05163          -18.39920          -18.53700          -18.67427          -18.82079          0.38839          0.06351          0.35946          0.97839          1.32951          1.58316          0.83918          0
266975          0.7509          0.0500          2.0000          0.0100          2.0000          0.9743          0.0741          4.02585e-01          90          1          0.000          9.90000e+01          4.77040e-03          26.972          27.657          27.374          26.924          26.515          26.937          1.027          0.356          0.216          0.333          0.594          1.209          -15.47873          -15.87951          -16.10987          -16.07912          -16.17685          -16.32468          0.27070          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.46064          11
