IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_BEST99_LOW,Z_BEST99_HIGH,Z_MED,Z_MODE,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,PDZ_BEST,SCALE_BEST,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,ERR_MAG_OBS0,ERR_MAG_OBS1,ERR_MAG_OBS2,ERR_MAG_OBS3,ERR_MAG_OBS4,ERR_MAG_OBS5,MAG_ABS0,MAG_ABS1,MAG_ABS2,MAG_ABS3,MAG_ABS4,MAG_ABS5,EMAG_ABS0,EMAG_ABS1,EMAG_ABS2,EMAG_ABS3,EMAG_ABS4,EMAG_ABS5,ZSPEC,PDZ_FLAG
237610.0,2.0,0.01,2.0,0.01,2.0,0.9993,0.0531,1.26167,70,0,0.0,99.0,0.302875,27.454,26.648,26.396,26.176,25.849,25.518,0.57,0.152,0.115,0.156,0.224,0.379,-19.49538,-20.12499,-20.45079,-20.56862,-20.66901,-20.77445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.36176,30
237969.0,2.0,1.2161,2.0,0.01,2.0,1.4866,2.0,2.17556,13,0,0.0,99.0,2.25467,27.282,27.08,26.637,26.336,25.922,24.701,0.869,0.217,0.142,0.164,0.209,0.334,-20.23005,-21.47917,-22.24538,-22.65359,-22.94503,-23.2259,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.34058,15
238257.0,2.0,0.9421,2.0,0.01,2.0,1.2548,1.2419,0.586672,9,0,0.0,99.0,2.60292,28.16,27.966,27.338,26.735,26.005,24.917,1.991,0.469,0.257,0.253,0.318,0.459,-20.31353,-21.69506,-22.44242,-22.82441,-23.07396,-23.31754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.36787,31
238406.0,2.0,1.9564,2.0,1.744,2.0,1.9437,2.0,10.4215,24,0,0.0,99.0,3.00274,29.669,26.725,26.281,25.786,25.078,24.295,0.777,0.174,0.105,0.108,0.139,0.208,-21.14473,-22.28728,-22.8768,-23.13235,-23.31607,-23.50242,0.65712,2.10691,2.98457,3.61152,3.94407,4.1758,1.36384,0
238536.0,2.0,0.0802,2.0,0.01,2.0,0.3254,0.2552,5.7116,32,0,0.0,99.0,1.14212,29.85,27.101,26.707,26.097,25.766,24.985,1.061,0.28,0.16,0.143,0.183,0.254,-20.44713,-21.43422,-21.92607,-22.09207,-22.23951,-22.39416,0.65712,2.10691,2.98457,3.61152,3.94407,4.1758,1.37186,16
238698.0,2.0,1.8221,2.0,0.01,2.0,1.5778,2.0,1.77028,11,0,0.0,99.0,2.5696,28.043,27.245,26.668,26.717,25.779,25.114,1.265,0.302,0.194,0.202,0.26,0.371,-20.34022,-21.68844,-22.43028,-22.81013,-23.06142,-23.30699,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3862,1
238740.0,2.0,1.1707,2.0,0.01,2.0,1.2983,1.2408,1.40184,10,0,0.0,99.0,2.24763,29.318,27.811,27.469,26.938,26.132,24.85,2.289,0.5,0.267,0.244,0.294,0.409,-20.29991,-21.64845,-22.34276,-22.6794,-22.89515,-23.10856,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.37123,15
239116.0,2.0,0.01,2.0,0.01,2.0,0.6516,0.1281,1.85049,32,0,0.0,99.0,1.14519,29.194,27.385,26.684,26.171,25.751,24.923,1.299,0.282,0.142,0.156,0.233,0.369,-20.34178,-21.32887,-21.82072,-21.98671,-22.13416,-22.28881,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.38992,30
239157.0,2.0,0.2689,2.0,0.01,2.0,0.455,0.4624,14.4011,32,0,0.0,99.0,1.16586,30.284,26.794,26.751,26.01,25.58,24.913,0.968,0.221,0.143,0.15,0.201,0.284,-20.51943,-21.50652,-21.99837,-22.16437,-22.31181,-22.46646,0.65712,2.10691,2.98457,3.61152,3.94407,4.1758,1.4069,24
239284.0,2.0,0.01,2.0,0.01,2.0,1.0919,0.0149,0.369472,27,0,0.0,99.0,1.04831,98.957,27.189,26.787,26.581,26.308,25.613,1.077,0.275,0.171,0.205,0.303,0.48,-19.55302,-20.67283,-21.41396,-21.8208,-22.11858,-22.40545,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.39186,30
