objectId,coord_ra,coord_dec,ebv,u_psfMag,u_psfMagErr,g_psfMag,g_psfMagErr,r_psfMag,r_psfMagErr,i_psfMag,i_psfMagErr,z_psfMag,z_psfMagErr,y_psfMag,y_psfMagErr,u_psfMag0,g_psfMag0,r_psfMag0,i_psfMag0,ug,gr,gi,ri,gi_sdss,gr_sdss,u_sdss,log_teff,feh
609780902427367304,52.71829196911317,-28.589980150794716,0.008870240300893784,25.749300003051758,1.0347900390625,21.957300186157227,0.012183300219476223,20.656400680541992,0.0067112501710653305,19.446699142456055,0.001953840022906661,18.917600631713867,0.002892209915444255,,,25.707102337865493,21.924830082161655,20.632438898937583,19.428482685530575,3.7822722557038375,1.2923911832240726,2.49634739663108,1.2039562134070074,2.6636099774121003,1.440308560478065,25.883403908166336,,
609780902427366930,52.68001791949188,-28.615168079594536,0.009083669632673264,,,21.04199981689453,0.011196499690413475,19.731300354003906,0.0035239900462329388,18.395999908447266,0.0014875100459903479,17.816999435424805,0.0033232199493795633,,,,21.008748440648883,19.706762021273192,18.377345140258832,,1.301986419375691,2.631403300390051,1.3294168810143603,2.8074445149154044,1.4510168440232711,,,
609780902427366900,52.707752678471756,-28.616870166440137,0.009130029939115047,,,17.93829917907715,0.0011879500234499574,17.436800003051758,0.0013014499563723803,17.24489974975586,0.0006801119889132679,17.170700073242188,0.001092709950171411,,,,17.904878097849405,17.41213643408162,17.226149773264527,,0.4927416637677844,0.6787283245848776,0.18598666081709325,0.7278456656828947,0.5478996967648474,,,
609780902427367138,52.68439814188332,-28.59995181184464,0.008979139849543571,,,19.252300262451172,0.002633580006659031,18.755599975585938,0.0019499299814924598,17.67300033569336,0.0010524500394240022,17.12700080871582,0.002100320067256689,,,,19.219431524422045,18.73134401624642,17.654560236130262,,0.4880875081756244,1.5648712882917835,1.076783780116159,1.6715879220307492,0.5427056591239969,,,
609780833707898110,52.72333263458438,-28.61295266270727,0.009058769792318344,,,19.263200759887695,0.0023829101119190454,18.84119987487793,0.0027650101110339165,18.673500061035156,0.0013492200523614883,18.611499786376953,0.0025684998836368322,,,,19.23004053116211,18.816728805774392,18.6548964286507,,0.4133117253877181,0.575144102511409,0.16183237712369092,0.6175284691746505,0.4592558855326934,,,
609780902427366779,52.708826957166565,-28.62575142657601,0.009238130412995815,,,23.3533992767334,0.07421170175075531,22.46809959411621,0.04520279914140701,21.890399932861328,0.025126000866293907,21.718599319458008,0.04252620041370392,,,,23.31958248653839,22.443144006005824,21.8714279547602,,0.8764384805325669,1.44815453177819,0.5717160512456232,1.5472845763437724,0.9761053442743447,,,
609788117972428529,53.36161543698657,-28.657616351928144,0.007333850022405386,17.818899154663086,0.00400857999920845,16.543100357055664,0.0005419970257207751,16.07990074157715,0.0008508709724992514,15.900899887084961,0.0008546920143999159,15.840999603271484,0.0007158989901654422,,,17.78401043268105,16.5162543117584,16.06008931521267,15.885838653285285,1.2677561209226518,0.45616499654572706,0.6304156584731135,0.17425066192738647,0.6763926762738659,0.5070801361450314,17.951008332108447,3.7381308440577117,-0.5864961644227562
609788117972428638,53.340925956774235,-28.65313470397542,0.007328489795327187,19.364599227905273,0.00965316966176033,18.261899948120117,0.00108022999484092,17.843900680541992,0.001220579957589507,17.6924991607666,0.0014892399776726961,17.655500411987305,0.0020085300784558058,,,19.32973600569099,18.235073524290225,17.824103734122392,17.6774489350504,1.0946624814007642,0.4109697901678331,0.5576245892398255,0.14665479907199241,0.5988701875404141,0.4566422858273017,19.505261631056012,3.7514464365415923,-0.773953956069394
609788117972428417,53.366058503030196,-28.669749685390904,0.0075087700970470905,,,24.022899627685547,0.2505890130996704,22.860200881958008,0.09193219989538193,22.29509925842285,0.07728130370378494,22.247900009155273,0.0939415991306305,,,,23.995413275832668,22.839916932134795,22.27967879827789,,1.1554963436978731,1.7157344775547791,0.560238133856906,1.8322572185958397,1.2875339195668265,,,
609788049252947563,53.47346507439984,-28.59565515766701,0.0072303698398172855,,,20.188499450683594,0.0036629200913012028,18.904699325561523,0.0023093600757420063,17.949199676513672,0.0013974099420011044,17.544099807739258,0.0017590300412848592,17.319299697875977,0.004447900224477053,,20.162032201470325,18.88516743723113,17.934350955816775,,1.2768647642391961,2.2276812456535495,0.9508164814143534,2.37748052662103,1.422981076890943,,,
609788049252947510,53.48934280703117,-28.598798027200367,0.007242079824209213,,,21.39699935913086,0.010793900117278099,21.062599182128906,0.014995899982750416,20.925199508666992,0.012167200446128845,20.9237003326416,0.024583399295806885,20.970199584960938,0.10141099989414215,,21.370489244741666,21.043035660823637,20.910326739644567,,0.3274535839180288,0.4601625050970988,0.13270892117906996,0.49507306792841016,0.36343819965252017,,,
609788049252942184,53.4842607649164,-28.593139670618754,0.007210960146039724,,,18.837400436401367,0.0023741000331938267,17.967599868774414,0.0013959299540147185,17.623600006103516,0.001021199976094067,17.466100692749023,0.0016841200413182378,17.346500396728516,0.004768060054630041,,18.81100423766183,17.94812041316597,17.60879114631666,,0.8628838244958601,1.2022130913451718,0.33932926684931175,1.2853569422826079,0.9609783481373799,,,
609788049252947596,53.537055459564186,-28.592677134370795,0.007089519873261452,,,22.460899353027344,0.03643159940838814,21.16230010986328,0.010630800388753414,19.98259925842285,0.005500460043549538,19.570199966430664,0.01038879994302988,19.285999298095703,0.022494999691843987,,22.434947694475287,21.1431487090984,19.968039795656033,,1.2917989853768859,2.4669078988192545,1.1751089134423687,2.632256912242506,1.4396476676806047,,,
609788049252947619,53.50669750395875,-28.59223901612308,0.00717388978227973,,,22.844100952148438,0.04694490134716034,21.47960090637207,0.013859800063073635,19.88010025024414,0.004511519800871611,19.154699325561523,0.00550705986097455,18.797500610351562,0.014722900465130806,,22.817840451938547,21.460221591450942,19.8653675203773,,1.3576188604876052,2.952472931561246,1.594854071073641,3.149383672112727,1.5131026483041674,,,
609788117972428885,53.413002147024066,-28.635293515960903,0.007252439856529236,,,23.922300338745117,0.09159799665212631,22.655099868774414,0.057364799082279205,21.59079933166504,0.040824901312589645,21.183000564575195,0.03502649813890457,20.879100799560547,0.10438299924135208,,23.895752300769256,22.635508361211336,21.57590528665954,,1.2602439395579204,2.3198470141097154,1.059603074551795,2.475637070026847,1.4044322365466393,,,
609788117972429667,53.42823826346594,-28.599509831684127,0.00706617021933198,25.562400817871094,1.813439965248108,22.867900848388672,0.018900200724601746,21.475900650024414,0.011553199961781502,19.928800582885742,0.004745869897305965,19.27389907836914,0.004665540065616369,18.953100204467773,0.010248200036585331,25.528785507017062,22.84203466279627,21.456812325263,19.914289072367183,2.686750844220793,1.3852223375332677,2.9277455904290868,1.542523252895819,3.123049053806977,1.543908128687127,25.769675090918128,,
